series_animedb_id,series_title,series_type,series_episodes,my_id,my_watched_episodes,my_start_date,my_finish_date,my_rated,my_score,my_storage,my_storage_value,my_status
46604.0,Dolls' Frontline,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
37520.0,Dororo,TV,24.0,0.0,24.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
53421.0,Dosanko Gal wa Namara Menkoi,TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
38691.0,Dr. Stone,TV,24.0,0.0,24.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
48549.0,Dr. Stone: New World,TV,11.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
50612.0,Dr. Stone: Ryuusui,TV Special,1.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
56894.0,Dragon Ball Daima,TV,20.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
30694.0,Dragon Ball Super,TV,131.0,0.0,131.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
813.0,Dragon Ball Z,TV,291.0,0.0,291.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
40526.0,"Dragon, Ie wo Kau.",TV,12.0,0.0,0.0,0000-00-00,0000-00-00,,0.0,,0.0,Plan to Watch
52701.0,Dungeon Meshi,TV,24.0,0.0,24.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
28121.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,13.0,0.0,13.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
32887.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka Gaiden: Sword Oratoria,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
37347.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,8.0,,0.0,Completed
40453.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka II OVA,OVA,1.0,0.0,1.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
40454.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,TV,12.0,0.0,12.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
44983.0,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA,OVA,1.0,0.0,1.0,0000-00-00,0000-00-00,,0.0,,0.0,Completed
